city,hour,total_events,total_revenue,avg_duration
NYC,2025-06-05 13:00:00,1,0.0,60.0
NYC,2025-06-05 16:00:00,1,0.0,60.0
NYC,2025-06-05 21:00:00,2,0.0,60.0
NYC,2025-06-05 22:00:00,2,0.0,60.0
NYC,2025-06-06 12:00:00,1,0.0,60.0
NYC,2025-06-06 23:00:00,1,0.0,60.0
NYC,2025-06-07 01:00:00,1,0.0,60.0
NYC,2025-06-07 02:00:00,1,0.0,60.0
NYC,2025-06-07 04:00:00,1,0.0,60.0
NYC,2025-06-07 07:00:00,1,0.0,60.0
NYC,2025-06-07 12:00:00,1,0.0,60.0
NYC,2025-06-07 13:00:00,1,0.0,60.0
NYC,2025-06-07 14:00:00,1,0.0,60.0
NYC,2025-06-07 15:00:00,1,0.0,60.0
NYC,2025-06-07 20:00:00,2,0.0,60.0
NYC,2025-06-07 21:00:00,1,0.0,60.0
NYC,2025-06-07 22:00:00,2,0.0,60.0
NYC,2025-06-07 23:00:00,2,0.0,60.0
NYC,2025-06-08 01:00:00,1,0.0,60.0
NYC,2025-06-08 04:00:00,1,0.0,60.0
NYC,2025-06-08 08:00:00,1,0.0,60.0
NYC,2025-06-08 10:00:00,2,0.0,60.0
NYC,2025-06-08 15:00:00,4,0.0,60.0
NYC,2025-06-09 10:00:00,1,0.0,60.0
NYC,2025-06-09 11:00:00,3,0.0,60.0
NYC,2025-06-09 13:00:00,1,0.0,60.0
NYC,2025-06-10 00:00:00,2,0.0,60.0
NYC,2025-06-10 08:00:00,1,0.0,60.0
NYC,2025-06-10 09:00:00,3,0.0,60.0
NYC,2025-06-10 11:00:00,1,0.0,60.0
NYC,2025-06-10 12:00:00,2,0.0,60.0
NYC,2025-06-10 17:00:00,2,0.0,60.0
NYC,2025-06-10 19:00:00,3,0.0,60.0
NYC,2025-06-10 21:00:00,1,0.0,60.0
NYC,2025-06-10 22:00:00,4,0.0,60.0
NYC,2025-06-10 23:00:00,1,0.0,60.0
NYC,2025-06-11 02:00:00,1,0.0,60.0
NYC,2025-06-11 04:00:00,1,0.0,60.0
NYC,2025-06-11 05:00:00,3,0.0,60.0
NYC,2025-06-11 08:00:00,4,0.0,60.0
NYC,2025-06-11 09:00:00,10,0.0,60.0
NYC,2025-06-11 10:00:00,3,0.0,60.0
NYC,2025-06-11 11:00:00,1,0.0,60.0
NYC,2025-06-11 12:00:00,2,0.0,60.0
NYC,2025-06-11 17:00:00,1,0.0,60.0
NYC,2025-06-11 21:00:00,1,0.0,60.0
NYC,2025-06-12 01:00:00,1,0.0,60.0
NYC,2025-06-12 10:00:00,2,0.0,60.0
NYC,2025-06-12 14:00:00,1,0.0,60.0
NYC,2025-06-12 15:00:00,1,0.0,60.0
NYC,2025-06-12 16:00:00,1,0.0,60.0
NYC,2025-06-12 17:00:00,1,0.0,60.0
NYC,2025-06-12 18:00:00,2,0.0,60.0
NYC,2025-06-13 04:00:00,1,0.0,60.0
NYC,2025-06-13 08:00:00,1,0.0,60.0
NYC,2025-06-13 09:00:00,1,0.0,60.0
NYC,2025-06-13 10:00:00,2,0.0,60.0
NYC,2025-06-13 11:00:00,1,0.0,60.0
NYC,2025-06-13 14:00:00,2,0.0,60.0
NYC,2025-06-13 15:00:00,1,0.0,60.0
NYC,2025-06-13 19:00:00,2,0.0,60.0
NYC,2025-06-13 20:00:00,1,0.0,60.0
NYC,2025-06-14 01:00:00,1,0.0,60.0
NYC,2025-06-14 02:00:00,1,0.0,60.0
NYC,2025-06-14 05:00:00,1,0.0,60.0
NYC,2025-06-14 06:00:00,1,0.0,60.0
NYC,2025-06-14 07:00:00,1,0.0,60.0
NYC,2025-06-14 09:00:00,2,0.0,60.0
NYC,2025-06-14 10:00:00,1,0.0,60.0
NYC,2025-06-14 17:00:00,1,0.0,60.0
NYC,2025-06-14 20:00:00,1,0.0,60.0
NYC,2025-06-14 21:00:00,2,0.0,60.0
NYC,2025-06-14 23:00:00,1,0.0,60.0
NYC,2025-06-15 00:00:00,6,0.0,60.0
NYC,2025-06-15 05:00:00,1,0.0,60.0
NYC,2025-06-15 07:00:00,2,0.0,60.0
NYC,2025-06-15 08:00:00,5,0.0,60.0
NYC,2025-06-15 09:00:00,1,0.0,60.0
NYC,2025-06-15 10:00:00,2,0.0,60.0
NYC,2025-06-15 11:00:00,3,0.0,60.0
NYC,2025-06-15 12:00:00,1,0.0,60.0
NYC,2025-06-15 14:00:00,1,0.0,60.0
NYC,2025-06-15 15:00:00,7,0.0,60.0
NYC,2025-06-15 16:00:00,1,0.0,60.0
NYC,2025-06-15 17:00:00,1,0.0,60.0
NYC,2025-06-15 19:00:00,1,0.0,60.0
NYC,2025-06-15 20:00:00,3,0.0,60.0
NYC,2025-06-15 21:00:00,2,0.0,60.0
NYC,2025-06-16 00:00:00,1,0.0,60.0
NYC,2025-06-16 01:00:00,2,0.0,60.0
NYC,2025-06-16 07:00:00,1,0.0,60.0
NYC,2025-06-16 08:00:00,1,0.0,60.0
NYC,2025-06-16 09:00:00,3,0.0,60.0
NYC,2025-06-16 10:00:00,2,0.0,60.0
NYC,2025-06-16 12:00:00,1,0.0,60.0
NYC,2025-06-16 13:00:00,2,0.0,60.0
NYC,2025-06-16 14:00:00,1,0.0,60.0
NYC,2025-06-16 16:00:00,2,0.0,60.0
NYC,2025-06-16 17:00:00,4,0.0,60.0
NYC,2025-06-16 18:00:00,1,0.0,60.0
NYC,2025-06-16 19:00:00,1,0.0,60.0
NYC,2025-06-16 21:00:00,1,0.0,60.0
NYC,2025-06-17 00:00:00,2,0.0,60.0
NYC,2025-06-17 02:00:00,1,0.0,60.0
NYC,2025-06-17 06:00:00,2,0.0,60.0
NYC,2025-06-17 10:00:00,1,0.0,60.0
NYC,2025-06-17 11:00:00,1,0.0,60.0
NYC,2025-06-17 12:00:00,1,0.0,60.0
NYC,2025-06-17 14:00:00,1,0.0,60.0
NYC,2025-06-17 15:00:00,1,0.0,60.0
NYC,2025-06-17 16:00:00,2,0.0,60.0
NYC,2025-06-17 17:00:00,5,0.0,60.0
NYC,2025-06-17 19:00:00,2,0.0,60.0
NYC,2025-06-17 21:00:00,1,0.0,60.0
NYC,2025-06-17 22:00:00,1,0.0,60.0
NYC,2025-06-18 01:00:00,1,0.0,60.0
NYC,2025-06-18 02:00:00,2,0.0,60.0
NYC,2025-06-18 03:00:00,3,0.0,60.0
NYC,2025-06-18 05:00:00,4,0.0,60.0
NYC,2025-06-18 06:00:00,2,0.0,60.0
NYC,2025-06-18 08:00:00,2,0.0,60.0
NYC,2025-06-18 09:00:00,4,0.0,60.0
NYC,2025-06-18 11:00:00,1,0.0,60.0
NYC,2025-06-18 12:00:00,1,0.0,60.0
NYC,2025-06-18 13:00:00,1,0.0,60.0
NYC,2025-06-18 15:00:00,2,0.0,60.0
NYC,2025-06-18 17:00:00,1,0.0,60.0
NYC,2025-06-18 18:00:00,2,0.0,60.0
NYC,2025-06-18 19:00:00,2,0.0,60.0
NYC,2025-06-18 21:00:00,4,0.0,60.0
NYC,2025-06-18 22:00:00,1,0.0,60.0
NYC,2025-06-19 01:00:00,2,0.0,60.0
NYC,2025-06-19 03:00:00,3,0.0,60.0
NYC,2025-06-19 04:00:00,1,0.0,60.0
NYC,2025-06-19 06:00:00,1,0.0,60.0
NYC,2025-06-19 07:00:00,1,0.0,60.0
NYC,2025-06-19 11:00:00,4,0.0,60.0
NYC,2025-06-19 12:00:00,1,0.0,60.0
NYC,2025-06-19 14:00:00,1,0.0,60.0
NYC,2025-06-19 15:00:00,1,0.0,60.0
NYC,2025-06-19 17:00:00,1,0.0,60.0
NYC,2025-06-19 18:00:00,3,0.0,60.0
NYC,2025-06-19 19:00:00,2,0.0,60.0
NYC,2025-06-19 20:00:00,4,0.0,60.0
NYC,2025-06-19 21:00:00,1,0.0,60.0
NYC,2025-06-19 22:00:00,1,0.0,60.0
NYC,2025-06-20 00:00:00,5,0.0,60.0
NYC,2025-06-20 01:00:00,1,0.0,60.0
NYC,2025-06-20 03:00:00,2,0.0,60.0
